"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 21:49:20 BRT 2024","Tue Apr 02 21:49:20 BRT 2024","114","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Tue Apr 02 21:48:08 BRT 2024","Tue Apr 02 21:48:09 BRT 2024","864","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Tue Apr 02 21:48:42 BRT 2024","Tue Apr 02 21:48:42 BRT 2024","193","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Tue Apr 02 21:48:32 BRT 2024","Tue Apr 02 21:48:32 BRT 2024","220","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Tue Apr 02 21:48:17 BRT 2024","Tue Apr 02 21:48:18 BRT 2024","1068","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Tue Apr 02 21:49:28 BRT 2024","Tue Apr 02 21:49:28 BRT 2024","710","Traversal","","","","",".children() - get child DOM elements",""
"passed","Tue Apr 02 21:49:33 BRT 2024","Tue Apr 02 21:49:34 BRT 2024","877","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Tue Apr 02 21:49:34 BRT 2024","Tue Apr 02 21:49:35 BRT 2024","514","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Tue Apr 02 21:48:35 BRT 2024","Tue Apr 02 21:48:36 BRT 2024","934","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Tue Apr 02 21:48:32 BRT 2024","Tue Apr 02 21:48:33 BRT 2024","128","Connectors",".then()","","","","yields the original subject without return",""
"passed","Tue Apr 02 21:48:31 BRT 2024","Tue Apr 02 21:48:31 BRT 2024","517","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Tue Apr 02 21:49:21 BRT 2024","Tue Apr 02 21:49:21 BRT 2024","18","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Tue Apr 02 21:49:30 BRT 2024","Tue Apr 02 21:49:30 BRT 2024","107","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Tue Apr 02 21:49:25 BRT 2024","Tue Apr 02 21:49:25 BRT 2024","177","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Tue Apr 02 21:48:37 BRT 2024","Tue Apr 02 21:48:37 BRT 2024","207","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Tue Apr 02 21:48:56 BRT 2024","Tue Apr 02 21:48:57 BRT 2024","875","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
